	Event_Time	Cause	Growth_Factor	GFP	Group	Clone	Progeny	Generation	GFP_Age	IsGFPatBirth	StartTime	BirthTime
67	1.19275463e+00	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.00000000e+01	3.00000000e+00	1.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907298e+05
68	8.78703704e-01	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.00000000e+01	7.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908492e+05
69	9.63240741e-01	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.00000000e+01	5.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908251e+05
70	3.47912037e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.00000000e+01	4.00000000e+00	2.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908251e+05
71	7.77662037e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.10000000e+01	1.00000000e+00	0.00000000e+00	       NaN	0.00000000e+00	7.32906983e+05	7.32906983e+05
72	3.36377315e-01	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.10000000e+01	2.00000000e+00	1.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907755e+05
73	5.89259259e-01	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.10000000e+01	3.00000000e+00	1.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32907755e+05
74	5.57268518e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.00000000e+00	0.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32906896e+05
75	6.36689815e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	2.00000000e+00	1.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32907455e+05
76	7.52106481e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	3.00000000e+00	1.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32907455e+05
77	4.90127315e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	4.00000000e+00	2.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908094e+05
78	4.90127315e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	5.00000000e+00	2.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908094e+05
79	5.44131945e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	6.00000000e+00	2.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908207e+05
80	5.56284722e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	7.00000000e+00	2.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908207e+05
81	2.23125000e-01	2.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.00000000e+01	3.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908586e+05
82	3.55497685e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	8.00000000e+00	3.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908584e+05
83	3.64178241e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	9.00000000e+00	3.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908584e+05
84	5.06631944e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.10000000e+01	3.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908586e+05
85	5.69282407e-01	0.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.40000000e+01	3.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908764e+05
86	5.84907407e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.20000000e+01	3.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908751e+05
87	5.91840278e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.30000000e+01	3.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908751e+05
88	6.26724537e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.50000000e+01	3.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908764e+05
89	3.86666667e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.70000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908941e+05
90	4.21481481e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	2.20000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909094e+05
91	4.42384259e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.90000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908950e+05
92	4.51064815e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.60000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908941e+05
93	4.56284722e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	1.80000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32908950e+05
94	4.58113426e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	2.30000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909094e+05
95	4.91134259e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	2.60000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909343e+05
96	5.17187500e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	3.00000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909390e+05
